20.741 21.489 21.863 22.375 22.061 22.279 20.401 20.214 17.805 17.700 15.506 51.557 50.359 50.141 46.582 51.613 55.248 56.458 48.119 61.379 62.988 66.738 5.337 5.824 5.695 5.610 5.735 5.540 5.689 5.755 5.597 5.372 4.262 4.850 5.425 5.770 6.240
20.738 21.485 21.861 22.373 22.057 22.278 20.402 20.212 17.804 17.698 15.505 51.579 50.373 50.150 46.588 51.620 55.250 56.457 48.118 61.379 62.993 66.742 5.337 5.825 5.696 5.611 5.735 5.540 5.690 5.756 5.599 5.373 4.263 4.851 5.426 5.770 6.242
20.725 21.470 21.852 22.363 22.043 22.271 20.406 20.203 17.801 17.689 15.500 51.672 50.429 50.183 46.615 51.650 55.256 56.453 48.116 61.377 63.017 66.758 5.335 5.827 5.702 5.613 5.744 5.543 5.696 5.759 5.606 5.373 4.266 4.854 5.427 5.770 6.248
20.672 21.407 21.808 22.327 21.982 22.235 20.408 20.162 17.774 17.651 15.473 52.041 50.677 50.371 46.727 51.805 55.339 56.462 48.107 61.431 63.108 66.849 5.324 5.830 5.719 5.620 5.732 5.551 5.719 5.771 5.627 5.375 4.274 4.867 5.434 5.770 6.270
20.676 21.412 21.811 22.330 21.987 22.238 20.408 20.165 17.776 17.654 15.475 52.018 50.663 50.360 46.717 51.796 55.336 56.462 48.105 61.428 63.101 66.843 5.324 5.830 5.718 5.619 5.733 5.550 5.717 5.770 5.626 5.375 4.274 4.867 5.434 5.770 6.269
20.668 21.403 21.805 22.324 21.978 22.233 20.408 20.159 17.772 17.648 15.472 52.062 50.692 50.382 46.735 51.814 55.344 56.462 48.107 61.434 63.114 66.855 5.324 5.831 5.721 5.620 5.732 5.551 5.720 5.772 5.628 5.376 4.275 4.868 5.434 5.770 6.271
20.604 21.324 21.742 22.256 21.895 22.189 20.409 20.103 17.737 17.595 15.440 52.389 50.922 50.558 46.909 51.975 55.417 56.459 48.152 61.504 63.227 66.955 5.317 5.834 5.738 5.622 5.719 5.557 5.740 5.778 5.646 5.375 4.280 4.878 5.437 5.768 6.290
20.603 21.323 21.742 22.256 21.894 22.188 20.409 20.103 17.736 17.595 15.439 52.391 50.924 50.559 46.910 51.977 55.418 56.459 48.152 61.505 63.227 66.956 5.317 5.834 5.738 5.622 5.719 5.558 5.740 5.778 5.646 5.375 4.280 4.878 5.437 5.768 6.290
20.519 21.215 21.643 22.142 21.774 22.120 20.397 20.018 17.673 17.516 15.390 52.690 51.167 50.772 47.161 52.182 55.531 56.468 48.257 61.638 63.367 67.086 5.314 5.836 5.752 5.620 5.701 5.560 5.757 5.780 5.658 5.371 4.280 4.887 5.438 5.764 6.305
21.142 22.378 23.449 24.277 23.336 23.345 21.299 21.502 19.089 18.640 16.248 50.336 45.432 43.161 37.081 44.116 48.473 53.535 41.046 53.457 59.001 62.249 5.122 6.019 5.731 5.867 6.107 6.065 5.730 6.151 5.991 5.632 4.601 4.822 5.598 5.974 6.398
21.327 22.286 23.072 24.229 23.612 23.083 20.679 21.208 18.651 18.569 15.827 51.372 49.381 48.037 40.300 47.947 53.820 57.686 43.004 57.443 59.851 64.588 4.886 5.444 5.370 5.785 5.834 5.419 5.493 5.791 5.488 5.484 4.360 4.829 5.539 5.796 6.093
21.536 22.415 23.209 24.465 23.794 23.173 20.730 21.296 18.737 18.659 15.832 50.882 49.299 48.271 39.980 47.830 53.824 57.743 42.843 57.233 59.731 64.486 4.908 5.434 5.367 5.842 5.851 5.418 5.536 5.811 5.488 5.502 4.365 4.855 5.576 5.824 6.086
